id,title,assignable,channelId
1,Film & Animation,True,UCBR8-60-B28hp2BmDPdntcQ
2,Autos & Vehicles,True,UCBR8-60-B28hp2BmDPdntcQ
10,Music,True,UCBR8-60-B28hp2BmDPdntcQ
15,Pets & Animals,True,UCBR8-60-B28hp2BmDPdntcQ
17,Sports,True,UCBR8-60-B28hp2BmDPdntcQ
18,Short Movies,False,UCBR8-60-B28hp2BmDPdntcQ
19,Travel & Events,True,UCBR8-60-B28hp2BmDPdntcQ
20,Gaming,True,UCBR8-60-B28hp2BmDPdntcQ
21,Videoblogging,False,UCBR8-60-B28hp2BmDPdntcQ
22,People & Blogs,True,UCBR8-60-B28hp2BmDPdntcQ
23,Comedy,True,UCBR8-60-B28hp2BmDPdntcQ
24,Entertainment,True,UCBR8-60-B28hp2BmDPdntcQ
25,News & Politics,True,UCBR8-60-B28hp2BmDPdntcQ
26,Howto & Style,True,UCBR8-60-B28hp2BmDPdntcQ
27,Education,True,UCBR8-60-B28hp2BmDPdntcQ
28,Science & Technology,True,UCBR8-60-B28hp2BmDPdntcQ
29,Nonprofits & Activism,True,UCBR8-60-B28hp2BmDPdntcQ
30,Movies,False,UCBR8-60-B28hp2BmDPdntcQ
31,Anime/Animation,False,UCBR8-60-B28hp2BmDPdntcQ
32,Action/Adventure,False,UCBR8-60-B28hp2BmDPdntcQ
33,Classics,False,UCBR8-60-B28hp2BmDPdntcQ
34,Comedy,False,UCBR8-60-B28hp2BmDPdntcQ
35,Documentary,False,UCBR8-60-B28hp2BmDPdntcQ
36,Drama,False,UCBR8-60-B28hp2BmDPdntcQ
37,Family,False,UCBR8-60-B28hp2BmDPdntcQ
38,Foreign,False,UCBR8-60-B28hp2BmDPdntcQ
39,Horror,False,UCBR8-60-B28hp2BmDPdntcQ
40,Sci-Fi/Fantasy,False,UCBR8-60-B28hp2BmDPdntcQ
41,Thriller,False,UCBR8-60-B28hp2BmDPdntcQ
42,Shorts,False,UCBR8-60-B28hp2BmDPdntcQ
43,Shows,False,UCBR8-60-B28hp2BmDPdntcQ
44,Trailers,False,UCBR8-60-B28hp2BmDPdntcQ
